,index,alim_grp_nom_fr,alim_ssgrp_nom_fr,alim_code,"Energie, Règlement UE N° 1169/2011 (kcal/100 g)","Energie, N x facteur Jones, avec fibres  (kJ/100 g)","Energie, N x facteur Jones, avec fibres  (kcal/100 g)",Eau (g/100 g),"Protéines, N x facteur de Jones (g/100 g)","Protéines, N x 6.25 (g/100 g)",Glucides (g/100 g),Lipides (g/100 g),Sucres (g/100 g),Fructose (g/100 g),Galactose (g/100 g),Glucose (g/100 g),Lactose (g/100 g),Maltose (g/100 g),Saccharose (g/100 g),Amidon (g/100 g),Fibres alimentaires (g/100 g),Polyols totaux (g/100 g),Cendres (g/100 g),Alcool (g/100 g),Acides organiques (g/100 g),AG saturés (g/100 g),AG monoinsaturés (g/100 g),AG polyinsaturés (g/100 g),"AG 4:0, butyrique (g/100 g)","AG 6:0, caproïque (g/100 g)","AG 8:0, caprylique (g/100 g)","AG 10:0, caprique (g/100 g)","AG 12:0, laurique (g/100 g)","AG 14:0, myristique (g/100 g)","AG 16:0, palmitique (g/100 g)","AG 18:0, stéarique (g/100 g)","AG 18:1 9c (n-9), oléique (g/100 g)","AG 18:2 9c,12c (n-6), linoléique (g/100 g)","AG 18:3 c9,c12,c15 (n-3), alpha-linolénique (g/100 g)","AG 20:4 5c,8c,11c,14c (n-6), arachidonique (g/100 g)","AG 20:5 5c,8c,11c,14c,17c (n-3) EPA (g/100 g)","AG 22:6 4c,7c,10c,13c,16c,19c (n-3) DHA (g/100 g)",Cholestérol (mg/100 g),Sel chlorure de sodium (g/100 g),Calcium (mg/100 g),Chlorure (mg/100 g),Cuivre (mg/100 g),Fer (mg/100 g),Iode (µg/100 g),Magnésium (mg/100 g),Manganèse (mg/100 g),Phosphore (mg/100 g),Potassium (mg/100 g),Sélénium (µg/100 g),Sodium (mg/100 g),Zinc (mg/100 g),Rétinol (µg/100 g),Beta-Carotène (µg/100 g),Vitamine D (µg/100 g),Vitamine E (mg/100 g),Vitamine K1 (µg/100 g),Vitamine K2 (µg/100 g),Vitamine C (mg/100 g),Vitamine B1 ou Thiamine (mg/100 g),Vitamine B2 ou Riboflavine (mg/100 g),Vitamine B3 ou PP ou Niacine (mg/100 g),Vitamine B5 ou Acide pantothénique (mg/100 g),Vitamine B6 (mg/100 g),Vitamine B9 ou Folates totaux (µg/100 g),Vitamine B12 (µg/100 g),Nom du Produit en Français,LCI Name,DQR - Note de qualité de la donnée (1 excellente ; 5 très faible),Score unique EF (mPt/kg de produit),Changement climatique (kg CO2 eq/kg de produit),Appauvrissement de la couche d'ozone (E-06 kg CVC11 eq/kg de produit),Rayonnements ionisants (kBq U-235 eq/kg de produit),Formation photochimique d'ozone (E-03 kg NMVOC eq/kg de produit),Particules (E-06 disease inc./kg de produit),Acidification terrestre et eaux douces (mol H+ eq/kg de produit),Eutrophisation terreste (mol N eq/kg de produit),Eutrophisation eaux douces (E-03 kg P eq/kg de produit),Eutrophisation marine (E-03 kg N eq/kg de produit),Utilisation du sol (Pt/kg de produit),Écotoxicité pour écosystèmes aquatiques d'eau douce (CTUe/kg de produit),Épuisement des ressources eau (m3 depriv./kg de produit),Épuisement des ressources énergétiques (MJ/kg de produit),Épuisement des ressources minéraux (E-06 kg Sb eq/kg de produit)
708,708,produits céréaliers,"pâtes, riz et céréales",9871,128.0,535.0,127.0,67.5,4.55,4.88,23.4,0.9,0.6,0.2,0.0,0.2,0.2,0.6,0.2,21.6,3.3,0.0,0.34,0.0,0.0,0.099,0.075,0.21,0.01,0.01,0.01,0.01,0.01,0.01,0.093,0.0062,0.075,0.2,0.012,0.01,0.01,0.01,0.7,0.01,22.0,11.5,0.19,0.98,20.0,36.0,0.76,110.0,65.0,20.0,5.0,0.99,0.0,5.0,0.0,0.08,0.8,0.0,0.5,0.07,0.021,0.16,0.19,0.032,10.5,0.021,"Pâtes sèches, au blé complet, cuites, non salées","Dried pasta, wholemeal, cooked, unsalted",2.88,0.31,1.67,0.19,0.63,5.89,0.28,0.04,0.17,0.72,17.24,217.47,24.64,0.53,29.63,6.66
709,709,produits céréaliers,"pâtes, riz et céréales",9901,89.3,378.0,89.1,77.8,1.43,1.5,20.1,0.5,0.2,0.2,0.0,0.2,0.2,0.2,0.2,19.3,0.5,0.0,0.25,0.0,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.024,5.2,6.22,0.03,0.08,20.0,1.3,0.05,13.0,2.2,20.0,9.5,0.15,0.0,0.0,0.25,0.03,0.8,0.0,0.5,0.02,0.01,0.1,0.054,0.01,6.57,0.0,"Vermicelle de riz, cuite, non salée","Rice noodle, cooked, unsalted",2.55,0.18,1.27,0.18,0.84,4.43,0.08,0.01,0.04,0.21,4.58,33.18,22.16,4.64,29.88,2.4
710,710,produits céréaliers,"pâtes, riz et céréales",25479,185.0,783.0,185.0,0.0,5.6,5.6,34.4,2.4,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,0.0,1.2,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Gnocchi à la semoule, cuit","Gnocchi, from semolina, cooked",1.92,0.12,0.8,0.15,0.84,2.58,0.05,0.01,0.03,0.16,4.11,46.43,22.99,0.87,26.35,1.97
711,711,produits céréaliers,"pâtes, riz et céréales",25510,177.0,748.0,177.0,55.5,5.01,5.01,33.6,2.05,1.1,0.2,0.0,0.2,0.2,1.0,0.2,29.3,2.0,0.0,1.58,0.0,0.0,0.26,0.54,1.04,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.077,0.54,1.02,0.024,0.0,0.0,0.0,129.0,1.01,5.1,695.0,0.14,0.7,60.0,18.8,1.4,39.0,184.0,5.0,402.0,0.5,2.0,0.0,0.5,0.92,0.0,0.0,0.0,0.084,0.04,1.6,0.24,0.12,27.1,0.15,"Gnocchi à la pomme de terre, cuit","Gnocchi, from potato, cooked",1.92,0.12,0.8,0.15,0.84,2.58,0.05,0.01,0.03,0.16,4.11,46.43,22.99,0.87,26.35,1.97
712,712,produits céréaliers,"pâtes, riz et céréales",51511,76.0,318.0,75.4,79.6,2.04,2.19,14.0,0.48,0.0,0.5,0.0,0.5,0.5,0.5,0.5,12.1,3.5,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,19.6,50.0,1.0,1.0,10.0,30.4,1.0,55.0,95.5,5.0,2.0,1.0,0.0,50.0,0.0,0.1,0.0,0.0,0.0,0.05,0.05,1.6,0.24,0.06,18.0,0.0,"Frik (blé dur immature concassé), cuit, non salé","Frik (crushed immature durum wheat), cooked, unsalted",2.88,0.12,0.56,0.06,0.25,2.14,0.11,0.02,0.07,0.26,7.2,91.93,9.09,0.22,10.55,2.24
713,713,produits céréaliers,"pâtes, riz et céréales",9001,344.0,1430.0,340.0,11.0,14.6,15.6,59.5,2.43,6.68,0.24,0.0,0.82,0.0,5.04,0.58,52.8,10.7,0.0,1.78,0.0,0.0,0.41,0.45,1.26,0.0,0.0,0.0,0.0,0.0,0.0,0.37,0.024,0.0,0.0,0.065,0.0,0.0,0.0,0.0,0.02,27.0,0.0,0.51,4.44,0.0,136.0,2.98,401.0,388.0,0.0,8.0,3.28,0.0,5.0,0.0,0.79,3.6,0.0,0.0,0.36,0.11,6.84,1.07,0.23,45.0,0.0,"Épeautre, cru","Spelt, raw",3.6,0.13,0.87,0.08,0.27,3.09,0.07,0.01,0.04,0.31,8.06,105.72,15.86,2.1,14.06,1.33
714,714,produits céréaliers,"pâtes, riz et céréales",9003,342.0,1430.0,337.0,11.1,14.5,15.6,59.5,2.13,7.74,0.11,0.0,0.61,0.0,6.48,0.54,51.7,11.1,0.0,1.67,0.0,0.0,0.2,0.21,0.62,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.012,0.0,0.0,0.048,0.0,0.0,0.0,0.0,0.013,22.0,0.0,0.51,3.77,0.0,130.0,2.74,364.0,403.0,0.0,5.0,3.68,0.0,5.0,0.0,0.61,1.8,0.0,0.0,0.57,0.18,6.38,0.95,0.26,0.0,0.0,"Blé de Khorasan, cru",Khorasan wheat,3.0,0.06,0.45,0.06,0.23,1.23,0.03,0.0,0.02,0.09,2.47,31.62,10.65,0.29,10.04,0.69
715,715,produits céréaliers,"pâtes, riz et céréales",9010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014,0.26,0.0,0.0,0.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Blé tendre entier ou froment, cru","Wheat, whole, raw",3.0,0.1,0.74,0.08,0.24,2.45,0.06,0.01,0.04,0.18,5.48,71.17,21.27,0.48,13.1,1.21
716,716,produits céréaliers,"pâtes, riz et céréales",9060,343.0,1440.0,340.0,10.7,12.1,13.0,62.4,2.24,3.17,0.0,0.0,0.0,0.0,0.0,0.54,59.2,11.0,0.0,1.64,0.0,0.0,0.37,0.29,0.95,0.0,0.0,0.0,0.0,0.0,0.003,0.34,0.019,0.22,0.86,0.06,0.003,0.0,0.0,0.0,0.0088,30.2,0.0,0.44,3.51,2.7,130.0,3.31,390.0,408.0,4.1,3.5,3.48,0.0,0.0,0.0,1.4,30.0,0.0,0.0,0.38,0.12,6.17,1.02,0.39,32.0,0.0,"Blé dur entier, cru","Durum wheat, whole, raw",2.7,0.13,0.87,0.08,0.27,3.09,0.07,0.01,0.04,0.31,8.06,105.72,15.86,2.1,14.06,1.33
717,717,produits céréaliers,"pâtes, riz et céréales",9080,359.0,1500.0,355.0,8.81,13.7,14.7,67.7,1.83,0.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.67,0.0,1.31,0.0,0.0,0.37,0.82,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37,0.01,55.0,0.0,0.4,0.0,0.0,50.0,3.4,238.0,950.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.11,0.0,8.4,0.6,0.3,331.0,0.0,"Blé dur précuit, entier, cru","Wheat, whole, pre-cooked, raw",3.31,0.13,0.87,0.08,0.27,3.09,0.07,0.01,0.04,0.31,8.06,105.72,15.86,2.1,14.06,1.33
718,718,produits céréaliers,"pâtes, riz et céréales",9100,352.0,1490.0,350.0,12.5,7.04,7.4,78.0,0.91,0.16,0.1,0.0,0.1,0.1,0.1,0.16,77.8,1.05,0.0,0.49,0.0,0.0,0.2,0.27,0.3,0.01,0.01,0.01,0.0,0.0,0.0062,0.17,0.019,0.27,0.29,0.0085,0.01,0.01,0.01,0.0,0.0061,33.0,0.0,0.19,1.57,2.2,31.3,0.99,118.0,121.0,6.0,2.28,1.41,0.0,0.0,0.0,0.08,0.1,0.0,0.0,0.15,0.042,1.92,0.88,0.13,19.3,0.0,"Riz blanc, cru","Rice, raw",3.3,0.31,2.16,0.15,0.28,7.22,0.14,0.02,0.08,0.35,8.74,78.79,38.34,13.85,22.4,3.1
719,719,produits céréaliers,"pâtes, riz et céréales",9101,356.0,1500.0,354.0,11.3,7.11,7.47,78.6,0.98,0.4,0.02,0.0,0.11,0.07,0.07,0.26,72.1,1.32,0.0,0.7,0.0,0.0,0.21,0.3,0.34,0.01,0.01,0.01,0.0,0.0,0.0076,0.18,0.019,0.3,0.34,0.0089,0.01,0.01,0.01,0.0,0.012,101.0,0.0,0.24,0.97,2.2,31.0,2.47,162.0,162.0,6.0,5.08,1.36,0.0,0.0,0.0,0.04,0.1,0.0,0.0,0.42,0.043,5.02,0.79,0.43,13.0,0.0,"Riz blanc étuvé, cru","Rice, parboiled, raw",3.61,0.31,2.16,0.15,0.28,7.22,0.14,0.02,0.08,0.35,8.74,78.79,38.34,13.85,22.4,3.1
720,720,produits céréaliers,"pâtes, riz et céréales",9102,350.0,1480.0,349.0,12.6,7.02,7.38,71.4,2.8,0.66,0.5,0.0,0.5,0.5,0.5,0.5,70.7,5.0,0.0,1.2,0.0,0.0,0.61,0.86,1.01,0.0,0.0,0.0,0.0,0.0025,0.016,0.52,0.055,0.71,0.98,0.026,0.0,0.0,0.0,0.0,0.01,11.1,62.0,0.27,1.0,10.0,118.0,2.2,163.0,219.0,5.0,4.1,2.0,0.0,50.0,0.0,0.2,1.9,0.0,0.0,0.26,0.05,0.05,1.1,0.09,48.0,0.0,"Riz complet, cru","Rice, brown, raw",3.3,0.31,2.16,0.15,0.28,7.22,0.14,0.02,0.08,0.35,8.74,78.79,38.34,13.85,22.4,3.1
721,721,produits céréaliers,"pâtes, riz et céréales",9108,344.0,1450.0,342.0,11.5,11.1,11.7,69.2,0.94,2.5,0.5,0.0,0.5,0.5,0.5,0.9,64.0,5.9,0.0,1.3,0.0,0.0,0.14,0.14,0.59,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.0096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0068,6.95,78.0,1.0,1.0,10.0,90.1,1.1,317.0,298.0,5.0,2.7,3.7,0.0,50.0,0.0,0.1,1.9,0.0,0.0,0.41,0.15,3.5,1.1,0.24,49.0,0.0,"Riz sauvage, cru","Wild rice, raw",3.3,0.31,2.16,0.15,0.28,7.22,0.14,0.02,0.08,0.35,8.74,78.79,38.34,13.85,22.4,3.1
722,722,produits céréaliers,"pâtes, riz et céréales",9109,352.0,1480.0,350.0,12.4,7.97,8.38,70.6,3.0,0.0,0.5,0.0,0.5,0.5,0.5,0.5,58.4,4.5,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028,13.5,61.0,1.0,1.0,10.0,130.0,2.0,372.0,288.0,5.0,11.0,2.1,0.0,50.0,0.0,0.7,0.0,0.0,0.0,0.26,0.06,1.7,1.1,0.12,15.0,0.0,"Riz rouge, cru","Rice, red, raw",3.3,0.31,2.16,0.15,0.28,7.22,0.14,0.02,0.08,0.35,8.74,78.79,38.34,13.85,22.4,3.1
723,723,produits céréaliers,"pâtes, riz et céréales",9119,353.0,1490.0,351.0,12.4,7.67,8.06,77.8,0.84,0.17,0.2,0.0,0.2,0.2,0.2,0.17,0.0,0.92,0.0,0.34,0.0,0.0,0.19,0.3,0.23,0.01,0.01,0.01,0.01,0.01,0.01,0.17,0.022,0.3,0.22,0.0068,0.01,0.01,0.01,0.0,0.014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Riz thaï ou basmati, cru","Basmati rice, raw",3.3,0.31,2.16,0.15,0.28,7.22,0.14,0.02,0.08,0.35,8.74,78.79,38.34,13.85,22.4,3.1
724,724,produits céréaliers,"pâtes, riz et céréales",9121,355.0,1500.0,353.0,12.2,7.14,7.5,78.1,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.025,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Riz, mélange de variétés (blanc, complet, rouge, sauvage, etc.), cru","Rice, mix of species (white, wholegrain, wild, red,etc.), raw",3.3,0.31,2.16,0.15,0.28,7.22,0.14,0.02,0.08,0.35,8.74,78.79,38.34,13.85,22.4,3.1
725,725,produits céréaliers,"pâtes, riz et céréales",9200,346.0,1460.0,346.0,13.6,8.1,8.1,67.2,3.7,1.6,0.0,0.0,0.0,0.0,0.0,0.0,64.1,5.7,0.0,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0032,0.35,0.057,0.0,1.8,0.032,0.0,0.0,0.0,0.0,0.01,40.0,50.0,0.2,3.2,0.0,100.0,0.8,260.0,320.0,12.8,4.0,1.9,0.0,0.0,0.0,1.7,0.0,0.0,0.0,0.4,0.14,2.1,0.6,0.5,0.0,0.0,"Maïs entier, cru","Corn or maize grain, raw",2.85,0.14,0.63,0.08,0.31,2.44,0.05,0.01,0.02,0.29,5.79,105.55,15.33,4.91,14.4,1.29
726,726,produits céréaliers,"pâtes, riz et céréales",9310,378.0,1570.0,374.0,8.22,16.9,18.1,55.7,6.9,1.2,0.0,0.0,0.0,0.0,0.0,0.0,52.6,10.6,0.0,1.72,0.0,0.0,1.22,2.18,2.54,0.0,0.0,0.0,0.0,0.024,0.015,1.03,0.065,2.17,1.65,0.073,0.0,0.0,0.0,0.0,0.005,54.0,70.0,0.63,4.72,0.0,177.0,4.92,523.0,429.0,9.0,2.0,3.97,0.0,0.0,0.0,1.09,0.0,0.0,0.0,0.76,0.14,0.96,1.35,0.12,56.0,0.0,"Avoine, crue","Oat, raw",3.6,0.23,1.22,0.1,0.26,3.74,0.11,0.01,0.06,0.78,53.17,180.69,28.17,0.89,15.56,2.81
727,727,produits céréaliers,"pâtes, riz et céréales",9320,334.0,1390.0,330.0,9.44,12.5,13.4,56.2,2.3,0.8,0.0,0.0,0.0,0.0,0.0,0.0,52.2,17.3,0.0,2.29,0.0,0.0,0.48,0.3,1.11,0.0,0.0,0.0,0.0,0.006,0.0072,0.39,0.017,0.0,0.92,0.073,0.0,0.0,0.0,0.0,0.03,33.0,110.0,0.5,3.6,0.0,133.0,1.94,264.0,452.0,6.15,12.0,2.77,0.0,13.0,0.0,0.57,2.2,0.0,0.0,0.65,0.29,4.6,0.28,0.32,19.0,0.0,"Orge entière, crue","Barley, whole, raw",2.55,0.14,0.89,0.09,0.27,2.6,0.09,0.01,0.04,0.21,10.84,82.89,25.61,1.33,14.79,2.69
728,728,produits céréaliers,"pâtes, riz et céréales",9321,346.0,1450.0,343.0,10.1,9.91,10.6,68.6,1.16,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.1,0.0,1.11,0.0,0.0,0.24,0.15,0.56,0.0,0.0,0.0,0.0,0.003,0.006,0.21,0.008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023,29.0,0.0,0.42,2.5,0.0,79.0,1.32,221.0,280.0,0.0,9.0,2.13,0.0,13.0,0.0,0.02,2.2,0.0,0.0,0.19,0.11,4.6,0.28,0.26,23.0,0.0,"Orge perlée, crue","Pearled barley, raw",2.86,0.14,0.89,0.09,0.27,2.6,0.09,0.01,0.04,0.21,10.84,82.89,25.61,1.33,14.79,2.69
729,729,produits céréaliers,"pâtes, riz et céréales",9330,359.0,1500.0,356.0,8.69,11.0,11.8,64.3,4.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.5,0.0,3.28,0.0,0.0,0.72,0.77,2.13,0.0,0.0,0.0,0.0,0.003,0.0,0.53,0.15,0.43,1.1,0.12,0.0,0.0,0.0,0.0,0.0068,8.75,0.0,0.62,3.91,5.0,107.0,1.17,263.0,208.0,16.0,2.7,2.54,0.0,0.0,0.0,0.05,0.9,0.0,0.0,0.42,0.29,4.72,0.85,0.57,57.5,0.0,"Mil entier, cru","Millet, whole",3.0,0.14,0.99,0.1,0.16,2.8,0.1,0.01,0.05,0.22,11.55,84.94,21.6,1.32,13.07,2.85
730,730,produits céréaliers,"pâtes, riz et céréales",9340,358.0,1490.0,354.0,13.3,13.2,14.1,58.1,6.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.2,7.0,0.0,2.38,0.0,0.0,0.71,1.61,3.29,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.037,1.53,2.21,0.13,0.0,0.0,0.047,0.0,0.013,47.0,0.0,0.59,4.57,0.0,197.0,2.03,457.0,563.0,0.0,5.0,3.1,0.0,8.0,0.0,2.44,0.0,0.0,0.0,0.36,0.32,1.52,0.77,0.49,184.0,0.0,"Quinoa, cru","Quinoa, raw",3.3,0.35,1.58,0.17,0.31,6.89,0.11,0.02,0.05,1.33,15.44,242.49,65.49,14.0,23.21,5.2
731,731,produits céréaliers,"pâtes, riz et céréales",9345,369.0,1540.0,365.0,11.3,13.5,14.5,58.6,7.02,1.68,0.0099,0.0,0.27,0.0,0.0099,1.39,56.9,6.7,0.0,2.88,0.0,0.0,1.46,1.69,2.78,0.0,0.0,0.0,0.0,0.0,0.011,1.15,0.22,1.43,2.74,0.041,0.0,0.0,0.0,0.0,0.01,159.0,0.0,0.53,7.61,0.0,248.0,3.33,557.0,508.0,0.0,4.0,2.87,0.0,1.0,0.0,1.19,0.0,0.0,4.2,0.12,0.2,0.92,1.46,0.59,82.0,0.0,"Amarante, crue","Amaranth, raw",3.6,0.13,0.87,0.08,0.27,3.09,0.07,0.01,0.04,0.31,8.06,105.72,15.86,2.1,14.06,1.33
732,732,produits céréaliers,"pâtes, riz et céréales",9360,349.0,1470.0,349.0,12.4,10.6,10.6,65.4,3.46,2.48,0.0,0.0,0.0,0.0,0.0,0.0,62.9,6.7,0.0,1.43,0.0,0.0,0.61,1.13,1.56,0.0,0.0,0.0,0.0,0.001,0.002,0.54,0.052,0.11,0.44,0.054,0.0,0.0,0.0,0.0,0.005,13.0,60.0,0.28,3.36,0.0,165.0,1.61,289.0,363.0,43.0,2.0,1.67,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.33,0.096,3.69,0.37,0.44,20.0,0.0,"Sorgho entier, cru","Sorghum, whole, raw",3.45,0.12,0.73,0.08,0.25,2.32,0.05,0.01,0.02,0.27,3.88,46.23,21.01,4.38,14.42,1.9
733,733,produits céréaliers,"pâtes, riz et céréales",9380,356.0,1500.0,356.0,10.1,12.9,12.9,64.6,3.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,1.95,0.0,0.0,0.74,1.04,1.04,0.0,0.0,0.035,0.018,0.01,0.025,0.45,0.047,0.99,0.96,0.078,0.0,0.0,0.0,0.0,0.0025,16.3,0.0,1.1,2.2,2.5,231.0,1.3,362.0,460.0,0.0,1.0,2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.43,7.02,1.23,0.21,30.0,0.0,"Sarrasin entier, cru","Buckwheat, whole, raw",3.0,0.13,0.87,0.08,0.27,3.09,0.07,0.01,0.04,0.31,8.06,105.72,15.86,2.1,14.06,1.33
734,734,produits céréaliers,"pâtes, riz et céréales",9390,334.0,1400.0,331.0,10.7,9.83,10.5,61.0,1.97,0.98,0.21,0.0,0.28,0.0,0.0,0.49,53.8,15.0,0.0,1.64,0.0,0.0,0.25,0.22,0.96,0.0,0.0,0.0,0.0,0.0,0.002,0.24,0.0035,0.22,0.84,0.12,0.0,0.0,0.0,0.0,0.0073,26.4,60.0,0.34,3.32,2.7,104.0,3.14,346.0,469.0,1.5,2.9,2.78,0.0,7.0,0.0,1.0,5.9,0.0,0.0,0.34,0.21,2.99,1.4,0.29,47.0,0.0,"Seigle entier, cru","Rye, whole, raw",3.15,0.11,0.8,0.09,0.26,2.71,0.06,0.01,0.03,0.2,10.44,25.07,19.73,0.42,14.37,2.5
735,735,produits céréaliers,"pâtes, riz et céréales",9610,352.0,1480.0,348.0,12.1,10.9,12.0,71.6,1.25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.37,0.0,0.78,0.0,0.0,0.21,0.14,0.52,0.0,0.0,0.0,0.0,0.0,0.002,0.15,0.014,0.14,0.49,0.034,0.0017,0.0,0.0,0.0,0.003,16.9,0.0,0.3,0.92,0.3,26.5,2.31,102.0,152.0,1.0,1.2,2.18,0.0,0.0,0.0,0.1,30.0,0.0,0.0,0.25,0.063,2.16,0.54,0.094,57.0,0.0,"Semoule de blé dur, crue","Durum wheat semolina, raw",2.56,0.27,1.32,0.12,0.45,5.02,0.26,0.04,0.16,0.61,16.3,208.57,20.37,0.64,22.24,5.02
736,736,produits céréaliers,"pâtes, riz et céréales",9612,354.0,1470.0,349.0,0.0,13.7,15.0,59.0,4.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,1.06,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.99,0.0,0.0,0.0,0.0,0.0,70.0,0.0,0.0,0.0,0.0,397.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Mélange de céréales et légumineuses, cru","Mix of cereals and legumes, raw",2.47,0.12,0.69,0.08,0.31,2.45,0.09,0.01,0.05,0.26,6.81,88.64,13.17,0.42,14.71,2.03
737,737,produits céréaliers,"pâtes, riz et céréales",9614,350.0,1480.0,350.0,12.6,7.88,7.88,74.0,1.8,0.0,0.5,0.0,0.5,0.5,0.5,0.5,68.0,3.2,0.0,0.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0043,1.55,94.0,0.0,1.0,10.0,35.0,1.0,104.0,144.0,5.0,1.7,1.0,0.0,50.0,0.0,1.0,0.0,0.0,0.0,0.07,0.06,0.05,0.39,0.08,35.0,0.0,"Polenta ou semoule de maïs, précuite, sèche","Polenta or Maize/corn semolina, pre-cooked, dried",3.19,0.27,1.31,0.11,0.34,4.99,0.26,0.04,0.16,0.61,16.28,208.51,19.78,0.59,19.89,4.93
738,738,produits céréaliers,"pâtes, riz et céréales",9681,365.0,1530.0,360.0,8.56,12.0,13.2,72.7,1.45,2.95,0.0,0.0,0.2,0.0,1.8,0.6,64.7,4.33,0.0,0.97,0.0,0.0,0.28,0.22,0.59,0.01,0.01,0.01,0.01,0.01,0.001,0.2,0.018,0.22,0.56,0.032,0.0,0.0,0.01,0.0,0.013,24.0,0.0,0.25,1.08,0.0,44.0,0.78,170.0,166.0,0.0,5.5,0.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.078,3.49,1.24,0.11,20.0,0.0,"Couscous (semoule de blé dur roulée précuite à la vapeur), crue","Couscous (durum wheat semolina pre-cooked with steam), raw",3.2,0.27,1.32,0.12,0.45,5.02,0.26,0.04,0.16,0.61,16.3,208.57,20.37,0.64,22.24,5.02
739,739,produits céréaliers,"pâtes, riz et céréales",9690,351.0,1470.0,348.0,9.05,11.5,12.4,66.8,1.71,0.41,0.0,0.0,0.0,0.0,0.0,0.41,60.0,9.57,0.0,1.31,0.0,0.0,0.27,0.21,0.76,0.0,0.0,0.013,0.0,0.0,0.001,0.24,0.014,0.21,0.71,0.05,0.0031,0.0,0.0,0.0,0.043,34.3,0.0,0.33,2.46,2.7,140.0,3.32,285.0,410.0,4.1,17.0,2.37,0.0,5.0,0.0,0.73,16.0,0.0,0.0,0.23,0.12,5.11,1.07,0.35,24.0,0.0,"Boulgour de blé, cru","Wheat bulgur, raw",3.0,0.13,0.87,0.08,0.27,3.09,0.07,0.01,0.04,0.31,8.06,105.72,15.86,2.1,14.06,1.33
